,Title,Release Year,Locations,Director,Actor 1
478,Vegas in Space,1992,Under Highway 101 (near Potrero and Cesar Chavez Streets),Phillip R. Ford,Doris Fish
479,Basic Instinct,1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Paul Verhoeven,Michael Douglas
480,Sister Act 2: Back in the Habit,1993,CCSF Alemany Campus,Bill Duke,Whoopi Goldberg
481,Fearless,1993,5th and Beale Streets,Peter Weir,Jeff Bridges
482,Joy Luck Club,1993,901 Union Street,Wayne Wang,Kieu Chinh
483,Sister Act 2: Back in the Habit,1993,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)",Bill Duke,Whoopi Goldberg
484,Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Peter Weir,Jeff Bridges
485,So I Married an Axe Murderer,1993,St. John's Presbyterian Church (25 Lake Street),Thomas Schlamme,Mike Myers
486,Sister Act 2: Back in the Habit,1993,"Maritime Museum, Building 201 (Fort Mason)",Bill Duke,Whoopi Goldberg
487,Fearless,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",Peter Weir,Jeff Bridges
488,Mrs. Doubtfire,1993,Chrissy Field,Chris Columbus,Robin Williams
489,Joy Luck Club,1993,375 Laguna Honda Blvd.,Wayne Wang,Kieu Chinh
490,So I Married an Axe Murderer,1993,Vesuvio Café (255 Columbus Avenue),Thomas Schlamme,Mike Myers
491,Fearless,1993,Varennes Alley between Filbert and Union,Peter Weir,Jeff Bridges
492,So I Married an Axe Murderer,1993,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)",Thomas Schlamme,Mike Myers
493,So I Married an Axe Murderer,1993,City Light Bookstore (261 Columbus Avenue),Thomas Schlamme,Mike Myers
494,Mrs. Doubtfire,1993,Hancock School (940 Filbert Street),Chris Columbus,Robin Williams
495,Joy Luck Club,1993,610 Rhode Island Street (Potrero Hill),Wayne Wang,Kieu Chinh
496,So I Married an Axe Murderer,1993,Rocco's Corner (Columbus Street),Thomas Schlamme,Mike Myers
497,Mrs. Doubtfire,1993,100 Embarcadero Street,Chris Columbus,Robin Williams
498,Mrs. Doubtfire,1993,520-522A Green Street at Grant Street,Chris Columbus,Robin Williams
499,So I Married an Axe Murderer,1993,Prudente's Italian Deli (1462 Grant Ave at Union),Thomas Schlamme,Mike Myers
500,So I Married an Axe Murderer,1993,Café Picaro 3120 16th Street,Thomas Schlamme,Mike Myers
501,Mrs. Doubtfire,1993,Danilo's Bakery (Green Street & Bannam Place),Chris Columbus,Robin Williams
502,Fearless,1993,400 Montgomery Street,Peter Weir,Jeff Bridges
503,Mrs. Doubtfire,1993,1200 Washington Street at Taylor Street,Chris Columbus,Robin Williams
504,Fearless,1993,Folsom Street & Embarcadero,Peter Weir,Jeff Bridges
505,Joy Luck Club,1993,180 Manchester Street,Wayne Wang,Kieu Chinh
506,Fearless,1993,90 Gold Street,Peter Weir,Jeff Bridges
507,Heart and Souls,1993,2810 Pacific Avenue,Tomas Gislason,Jorgen Leth
508,So I Married an Axe Murderer,1993,Fog City Diner (1300 Battery Street),Thomas Schlamme,Mike Myers
509,Heart and Souls,1993,Stockton Tunnel (Stockton Street at Sutter Street),Tomas Gislason,Jorgen Leth
510,Sister Act 2: Back in the Habit,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Bill Duke,Whoopi Goldberg
511,So I Married an Axe Murderer,1993,Alcatraz Island,Thomas Schlamme,Mike Myers
512,Sister Act 2: Back in the Habit,1993,Coit Tower,Bill Duke,Whoopi Goldberg
513,So I Married an Axe Murderer,1993,Swedenborgian Church (2107 Lyon Street),Thomas Schlamme,Mike Myers
514,Joy Luck Club,1993,Horace Mann School (3351 23rd Street),Wayne Wang,Kieu Chinh
515,Joy Luck Club,1993,Hang Ah Alley (Chinatown),Wayne Wang,Kieu Chinh
516,Heart and Souls,1993,War Memorial Opera House (401 Van Ness Avenue),Tomas Gislason,Jorgen Leth
517,Mrs. Doubtfire,1993,516 Green Street,Chris Columbus,Robin Williams
518,Fearless,1993,Kohl Building (400 Montgomery Street),Peter Weir,Jeff Bridges
519,Heart and Souls,1993,Conservatory of Flowers (Golden Gate Park),Tomas Gislason,Jorgen Leth
520,So I Married an Axe Murderer,1993,305 Hugo Street,Thomas Schlamme,Mike Myers
521,So I Married an Axe Murderer,1993,Edinburgh Castle (950 Geary Street),Thomas Schlamme,Mike Myers
522,Fearless,1993,Bank of America Building (555 California Street),Peter Weir,Jeff Bridges
523,So I Married an Axe Murderer,1993,San Francisco Chronicle (901 Mission Street at 15th Street),Thomas Schlamme,Mike Myers
524,So I Married an Axe Murderer,1993,"1462 Grant Avenue, at Union Street",Thomas Schlamme,Mike Myers
525,Getting Even with Dad,1994,California & Grant Streets,Howard Dutch,Macaulay Culkin
526,Interview With The Vampire,1994,Ferry Building,Neil Jordan,Brad Pitt
527,Junior,1994,"Postcard Row (Alamo Square, Hayes Valley)",Ivan Reitman,Arnold Schwarzenegger
528,Getting Even with Dad,1994,M.H. de Young Memorial Museum (Golden Gate Park),Howard Deutch,Macaulay Culkin
529,Getting Even with Dad,1994,140 Maiden Lane,Howard Deutch,Macaulay Culkin
530,Golden Gate,1994,University of California Hastings College of the Law,Howard Deutch,Matt Dillon
531,Getting Even with Dad,1994,War Memorial Building (401 Van Ness Avenue),Howard Deutch,Macaulay Culkin
532,When a Man Loves a Woman,1994,766 Vallejo Street at Stockton Street (North Beach),Luis Mandoki,Andy Garcia
533,Interview With The Vampire,1994,100 Market Street at 6th Street,Neil Jordan,Brad Pitt
534,Junior,1994,2552 Hyde Street,Ivan Reitman,Arnold Schwarzenegger
535,When a Man Loves a Woman,1994,"Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street)",Luis Mandoki,Andy Garcia
536,Golden Gate,1994,Bush Street (between Grant & Kearny Streets),John Madden,Matt Dillon
537,Junior,1994,Chinatown Gate,Ivan Reitman,Arnold Schwarzenegger
538,Junior,1994,722 Steiner Street,Ivan Reitman,Arnold Schwarzenegger
539,Junior,1994,"Fairmont Hotel (950 Mason Street, Nob Hill)",Ivan Reitman,Arnold Schwarzenegger
540,Junior,1994,United Nations Plaza (Civic Center),Ivan Reitman,Arnold Schwarzenegger
541,When a Man Loves a Woman,1994,Cybelle's Pizza (1000 Bush Street),Luis Mandoki,Andy Garcia
542,When a Man Loves a Woman,1994,1521 Masonic Avenue at Piedmont Street,Luis Mandoki,Andy Garcia
543,Getting Even with Dad,1994,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Howard Deutch,Macaulay Culkin
544,Getting Even with Dad,1994,Embarcadero Street Station- BART,Howard Deutch,Macaulay Culkin
545,Getting Even with Dad,1994,Mason Street at Jackson,Howard Deutch,Macaulay Culkin
546,Interview With The Vampire,1994,6th Street On-ramp to Highway 280,Neil Jordan,Brad Pitt
547,When a Man Loves a Woman,1994,"International Studies Academy (993 Vermont Street, Potrero Hill)",Luis Mandoki,Andy Garcia
548,Interview With The Vampire,1994,Golden Gate Bridge,Neil Jordan,Brad Pitt
549,Getting Even with Dad,1994,Candlestick Park (602 Jamestown Ave.),Howard Deutch,Macaulay Culkin
550,Golden Gate,1994,Buena Vista Park (Haight Street at Buena Vista),John Madden,Matt Dillon
551,When a Man Loves a Woman,1994,Spring Valley School (1451 Jackson Street),Luis Mandoki,Andy Garcia
552,Getting Even with Dad,1994,Transbay Terminal (Mission Street at 1st Street),Howard Deutch,Macaulay Culkin
553,When a Man Loves a Woman,1994,Buena Vista Café (2765 Hyde Street),Luis Mandoki,Andy Garcia
554,Golden Gate,1994,Golden Gate Bridge,John Madden,Matt Dillon
555,Forrest Gump,1994,Palace of Fine Arts (3301 Lyon Street),Robert Zemeckis,Tom Hanks
556,Golden Gate,1994,Ross Alley (Chinatown),John Madden,Matt Dillon
557,When a Man Loves a Woman,1994,Grant Street at Pacific Avenue,Luis Mandoki,Andy Garcia
558,Getting Even with Dad,1994,"Neiman Marcus (150 Stockton Street, Union Square)",Howard Deutch,Macaulay Culkin
559,Junior,1994,Hyatt Fisherman's Wharf (555 Northpoint Street),Ivan Reitman,Arnold Schwarzenegger
560,Copycat,1995,Twin Peaks,Jon Amiel,Sigourney Weaver
561,Nine Months,1995,Jones Street at Bush,Chris Columbus,Hugh Grant
562,Nine Months,1995,60 Spear Street,Chris Columbus,Hugh Grant
563,Jade,1995,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)",William Friedkin,David Caruso
564,Copycat,1995,"Java House (Pier 40, Embarcadero)",Jon Amiel,Sigourney Weaver
565,Jade,1995,War Memorial Opera House (401 Van Ness Avenue),William Friedkin,David Caruso
566,Jade,1995,Fior d' Italia (601 Union Street at Stockton),William Friedkin,David Caruso
567,Nine Months,1995,Belli Building (722 Montgomery Street at Washington),Chris Columbus,Hugh Grant
568,The Net,1995,Montgomery & Market Streets,Irwin Winkler,Sandra Bullock
569,The Net,1995,Moscone Convention Center,Irwin Winkler,Sandra Bullock
570,Jade,1995,Sheraton Palace Hotel (639 Market Street),William Friedkin,David Caruso
571,Nine Months,1995,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Chris Columbus,Hugh Grant
572,Nine Months,1995,Star's Café (55 Golden Gate Avenue at Van Ness),Chris Columbus,Hugh Grant
573,Jade,1995,Hall of Justice (850 Bryant Street),William Friedkin,David Caruso
574,Nine Months,1995,Wasteland Store (1600 Haight Street),Chris Columbus,Hugh Grant
575,Nine Months,1995,Alamo Square,Chris Columbus,Hugh Grant
576,Copycat,1995,Sound Factory (1st and Harrison Streets),Jon Amiel,Sigourney Weaver
577,Nine Months,1995,Marathon Plaza (303 2nd Street),Chris Columbus,Hugh Grant
578,Nine Months,1995,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",Chris Columbus,Hugh Grant
579,Jade,1995,"Fairmont Hotel (950 Mason Street, Nob Hill)",William Friedkin,David Caruso
